snumat-id,formula,HSE,GGA
SM-14638,Ba6In4P8,1.7349199999999991,1.101196999999999
SM-14397,Ba3Sb4Li4,0.07257200000000001,0.0
SM-11376,Ba3Mg1Nb2O9,4.004843,2.649944
SM-18982,Ba6Mg2Ru4O18,1.6633069999999999,0.06199
SM-11377,Ba6Mg2Sb4O18,4.344349,2.681159
SM-11378,Mn1Nb2Ba3O9,2.644057,1.7673400000000001
SM-20157,Ba12Mn4Sb8O36,2.613935,1.751522
SM-17461,Ba3Mn2O8,3.208389,1.721463
SM-14266,Ba6Sb2N2,1.371731,0.675851999999999
SM-4562,Ba3Zn1N2O1,1.195659,0.5057659999999999
SM-11379,Na2Ba6Ru2O12,2.477532,0.511888
SM-4063,Sb2Ba6Na2O12,4.386678,2.853778
SM-13767,Ba3Sr1Nb2O9,4.209676,2.812833999999999
SM-11380,Ba3Zn1Nb2O9,4.051228,2.679781
SM-11381,Ba3Nb6Si4O26,3.64162,2.348172
SM-19957,Ni2O8Ba6,3.444255,2.1518100000000002
SM-13372,Ba6Ru4Ni2O18,2.452151,0.49340799999999996
SM-4091,Ba6Ni2Sb4O18,1.8592819999999999,0.104402
SM-13373,Ba6Ni2Sb4O18,3.965599,2.374238
SM-13024,Ba3Te1Zn3P2O14,4.682346,3.283199
SM-15822,Ba12Sb8O4,0.7575940000000001,0.181599999999999
SM-13025,Ba3Zn6Si4Te1O20,4.413031,3.310924
SM-4969,Ba6V4S8O6,2.04948,1.361844
SM-11382,Ba6Se8P4O8,2.145506,1.250074
SM-2892,Ba9Sb6O18,3.875721,2.909448
SM-3728,Ba3W1O6,3.999236,2.714143
SM-14270,Ba6Te4O18,3.994435999999999,2.398916
SM-797,Ba6P28,2.420279,1.721029
SM-14635,Ba3P2S8,3.025725,1.9591690000000002
SM-15643,Ba12P16Sn8,1.331125999999999,0.779585
SM-644,Ba6P8,1.104792,0.481597
SM-14481,Ba6Si8P12,1.050732,0.392155999999999
SM-14393,Ba12Si4S20,3.786797999999999,2.806552
